SUBSTÂNCIA,EAN 3,APRESENTAÇÃO,CLASSE TERAPÊUTICA,DESTINAÇÃO COMERCIAL 
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,    -     ,"10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G",D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS,
ACEBROFILINA,    -     ,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,
ACEBROFILINA,    -     ,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,
ACECLOFENACO,    -     ,15 MG/G CREM CT TB AL X 30 G,M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS,
ACECLOFENACO,    -     ,100 MG COM REV CT BL AL/AL X 12,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,
ACEPONATO DE METILPREDNISOLONA,    -     ,1 MG/G CREM DERM CT BG AL X 15 G,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACEPONATO DE METILPREDNISOLONA,    -     ,1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACEPONATO DE METILPREDNISOLONA,    -     ,1 MG/G EMU DERM CT BG AL X 20 G,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACETATO DE CIPROTERONA,    -     ,50 MG COM CT BL AL PLAS TRANS X 20,G3A5 - PREPARAÇÕES ORAIS COM PROGESTAGÊNIOS SOMENTE,
ACETATO DE CIPROTERONA,    -     ,100 MG COM CT BL AL PLAS TRANS X 20,G3A5 - PREPARAÇÕES ORAIS COM PROGESTAGÊNIOS SOMENTE,
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,"(0,035 + 2) MG COM REV CT BL AL PLAS PVC/ACLAR OPC X 21 ",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,"2 MG + 0,03 MG COM REV CT BL CALEND AL PLAS TRANS X 21 + 7 PLACEBOS",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,"2 MG + 0,02 MG COM REV CT BL CALEND AL PLAS TRANS X 24 + 4 PLACEBO",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,
ACETATO DE DEXAMETASONA,    -     ,1 MG/G CREM DERM CT BG AL X 10 G  ,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACETATO DE FLUDROCORTISONA,    -     ,"0,1 MG COM CT FR VD AMB X 100",H2A2 - CORTICOSTERÓIDES ORAIS PUROS,
ACETATO DE FLUORMETOLONA,    -     ,"1,0 MG/ML SUS OFT CT FR GOT PLAS OPC X 5 ML",S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS,
ACETATO DE HIDROCORTISONA,    -     ,10 MG/G CREM DERM CT BG AL X 15 G ,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACETATO DE MEDROXIPROGESTERONA,    -     ,150 MG/ML SUS INJ IM SER PREENC VD TRANS X 1 ML,G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS,
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,"25 MG+ 5 MG SUS INJ CX 2 AMP VD INC X 0,5 ML",G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS,
ACETATO DE METILPREDNISOLONA,    -     ,40 MG/ML SUS INJ CT FA VD TRANS X 2 ML ,H2A1 - CORTICOSTERÓIDES INJETÁVEIS PUROS,
ACETATO DE NORETISTERONA,    -     ,10 MG COM CT BL AL PLAS TRANS X 30,"G3D - PROGESTÓGENOS EXCLUINDO G3A, G3F",
ACETATO DE PREDNISOLONA,    -     ,10 MG/ML SUS OC FR PLAS OPC GOT X 5 ML,S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS,
ACETATO DE PREDNISOLONA,    -     ,"1,2 MG/ML SUS OC  FR PLAS OPC GOT X 10 ML",S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS,
ACETATO DE RACEALFATOCOFEROL,    -     ,400 MG CAP MOLE CT BL AL PLAS PVC TRANS X 30,A11X3 - VITAMINA E PURA,
ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;COBRE;ÁCIDO ASCÓRBICO;ZINCO,    -     ,COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30,A11A4 - OUTROS POLIVITAMÍNICOS COM MINERAIS,
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,    -     ,"11,76 + 0,04 + 30 MG/ML SOL OR CT FR VD AMB CGT X 15 ML ","A11B4 - POLIVITAMÍNICOS SEM MINERAIS, OUTROS",
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,    -     ,"10 + 0,02 + 15 MG/ML SOL OR CT AMP VD INC X 3 ML","A11B4 - POLIVITAMÍNICOS SEM MINERAIS, OUTROS",
ACETATO DE RACEALFATOCOFEROL;SILYBUM MARIANUM (L.) GAERTN,    -     ,(215 + 200) MG COM CT BL AL/AL X 30,A5B - HEPATOPROTETORES E LIPOTRÓPICOS,
ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO,    -     ,800 MCG + 20 MG CAP MOLE CT BL AL PLAS OPC X 30,A11X9 - TODAS OUTRAS VITAMINAS,
ACETATO DE RETINOL;COLECALCIFEROL,    -     ,(50000 + 10000) UI/ML SOL OR CT FR GOT PLAS AMB X 10 ML,A11C3 - ASSOCIAÇÕES VITAMINAS A COM D,
ACETATO DE TOCOFEROL;ÁCIDO FÓLICO,    -     ,400 MCG + 10 MG CAP MOLE CT FR PLAS X 30,"B3X - OUTROS PRODUTOS ANTIANÊMICOS, INCLUINDO ÁCIDO FÓLICO, ÁCIDO FOLÍNICO",
ACETAZOLAMIDA,    -     ,250 MG COM CT FR VD AMB X 25  ,S1E1 - PREPARAÇÕES ANTIGLAUCOMAS E MIÓTICAS SISTÊMICAS,
ACETILCISTEÍNA,    -     ,100 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G ,R5C - EXPECTORANTES,
ACETILCISTEÍNA,    -     ,200 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G ,R5C - EXPECTORANTES,
ACETILCISTEÍNA,    -     ,600 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G ,R5C - EXPECTORANTES,
ACETILCISTEÍNA,    -     ,40 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,
ACETILCISTEÍNA,    -     ,20 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,
ACETILCISTEÍNA,    -     ,100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML,R5C - EXPECTORANTES,
ACETILCISTEÍNA,    -     ,600 MG COM EFEV CT BL AL/AL X 16,R5C - EXPECTORANTES,
ACETILRACEMETIONINA;BETAÍNA;CITRATO DE COLINA,    -     ,40MG/ML + 53MG/ML + 50MG/ML SOL OR CT FR VD AMB X 100 ML,A5B - HEPATOPROTETORES E LIPOTRÓPICOS,
ACETONIDA DE TRIANCINOLONA,    -     ,"550 MCG/ML SUS NAS CT FR PLAS OPC SPRAY X 16,5 ML",R1A1 - CORTICOSTERÓIDES NASAIS SEM ANTIINFECCIOSOS,
ACICLOVIR,    -     ,200 MG COM CT BL AL PLAS PP/PVDC TRANS X 25,J5B3 - ANTIVIRAIS PARA HERPES,
ACICLOVIR,    -     ,400 MG COM CT BL AL PLAS PP/PVC OPC X 30 ,J5B3 - ANTIVIRAIS PARA HERPES,
ACICLOVIR,    -     ,50 MG/G CREM DERM CT BG AL X 10 G,J5B3 - ANTIVIRAIS PARA HERPES,
ACICLOVIR,    -     ,"30 MG/G POM OFT CT BG AL X 4,5 ",D6D1 - ANTIVIRAIS TÓPICOS,
ACIDO ACETILSALICILICO,    -     ,100 MG COM CT BL AL PLAS TRANS X 30,N2B2 - ANALGÉSICOS NÃO NARCÓTICOS E ANTIPIRÉTICOS ISENTOS DE PRESCRIÇÃO,
ACTAEA RACEMOSA L.,    -     ,20 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30,V3X - TODOS OS OUTROS PRODUTOS TERAPÊUTICOS,
ACTAEA RACEMOSA L.,    -     ,160 MG COM REV CT BL AL PLAS PVDC TRANS X 15,G3J - MODULADORES SELETIVOS DO RECEPTOR DE ESTROGÊNIO,
ACTAEA RACEMOSA L.,    -     ,80 MG CAP GEL DURA CT BL AL PLAS INC X 30,G2X9 - OUTROS GINECOLÓGICOS,
ADAPALENO,    -     ,1 MG/G GEL CT BG AL X 30 G  ,D10A - ANTIACNEICOS TÓPICOS,
ADAPALENO,    -     ,3 MG/G GEL CT BG AL X 30 G ,D10A - ANTIACNEICOS TÓPICOS,
ADAPALENO;FOSFATO DE CLINDAMICINA,    -     ,1 MG/G + 10 MG/G GEL DERM CT BG AL REV PLAS X 45 G,D10A - ANTIACNEICOS TÓPICOS,
ADAPALENO;PERÓXIDO DE BENZOÍLA,    -     ,1MG/G + 25MG/G GEL TOP CT BG AL/PLAS OPC X 30G,D10A - ANTIACNEICOS TÓPICOS,
AESCULUS HIPPOCASTANUM L.,    -     ,100 MG COM REV CT BL AL PLAS PVC TRANS X 30,C5C - VASOPROTETORES SISTÊMICOS,
AESCULUS HIPPOCASTANUM L.,    -     ,170 MG COM REV CT BL AL PLAS INC X 30,C5C - VASOPROTETORES SISTÊMICOS,
AESCULUS HIPPOCASTANUM L.,    -     ,"263,2 MG COM REV LIB RET BL AL PLAS INC X 30",C5C - VASOPROTETORES SISTÊMICOS,
AESCULUS HIPPOCASTANUM L.,    -     ,250 MG CAP DURA  CT FR VD AMB X 20,C5C - VASOPROTETORES SISTÊMICOS,
AESCULUS HIPPOCASTANUM L.,    -     ,500 MG CAP GEL DURA CT FR PLAS OPC X 50,C5C - VASOPROTETORES SISTÊMICOS,
AESCULUS HIPPOCASTANUM L.,    -     ,280 MG COM REV CT BL AL PLAS PVC TRANS X 60,C5C - VASOPROTETORES SISTÊMICOS,
AESCULUS HIPPOCASTANUM L.,    -     ,170 MG COM REV CT BL AL PLAS PVC TRANS X 45,C5C - VASOPROTETORES SISTÊMICOS,
AESCULUS HIPPOCASTANUM L.,    -     ,300 MG COM REV CX BL AL PLAS TRANS X 30,C5C - VASOPROTETORES SISTÊMICOS,
ALANTOÍNA;ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,    -     ,CREM DERM CT TB  PLAS X 50 G,D2A - EMOLIENTES PROTETORES DERMATOLÓGICOS,
ALBENDAZOL,    -     ,40 MG/ML SUS OR CT FR VD AMB X 10 ML ,P1B - ANTI-HELMÍNTICOS EXCETO ESQUISTOSSOMICIDAS (P1C),
ALBENDAZOL,    -     ,400 MG COM MAST CT BL AL PLAS PVC TRANS X 3,P1B - ANTI-HELMÍNTICOS EXCETO ESQUISTOSSOMICIDAS (P1C),
ALCAFTADINA,    -     ,"2,5 MG/ML SOL OFT CT FR PLAS GOT X 3 ML","S1G1 - ANTIALÉRGICOS OFTAMOLÓGICOS, ANTI-HISTAMÍNICOS",
ALENDRONATO DE SÓDIO,    -     ,70 MG COM CT BL AL PVC TRANS X 4,M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS,
ALFAEPOETINA,    -     ,1.000 UI PO LIOF SOL INJ CT FA VD TRANS + AMP DIL X 2 ML,B3C - ERITROPOIETÍNAS,
ALFAEPOETINA,    -     ,4.000 UI PO LIOF SOL INJ CT FA VD TRANS + AMP DIL X 2 ML,B3C - ERITROPOIETÍNAS,
ALFAEPOETINA,    -     ,2.000 UI PO LIOF SOL INJ CT FA VD TRANS + AMP DIL X 2 ML,B3C - ERITROPOIETÍNAS,
ALFAEPOETINA,    -     ,3.000 UI PO LIOF SOL INJ CT FA VD TRANS + AMP DIL X 2 ML,B3C - ERITROPOIETÍNAS,
ALFAEPOETINA,    -     ,1.000 UI PO LIOF SOL INJ CT FA VD TRANS + AMP DIL X 1 ML,B3C - ERITROPOIETÍNAS,
ALFAEPOETINA,    -     ,10.000 UI PO LIOF SOL INJ CT FA VD TRANS + AMP DIL X 1 ML,B3C - ERITROPOIETÍNAS,
ALFAEPOETINA,    -     ,2000 UI SOL INJ IV/SC CT 10 FA VD TRANS X 1 ML ,B3C - ERITROPOIETÍNAS,
ALFAESTRADIOL,    -     ,"0,25 MG/ML SOL CAPI CT FR PLAS OPC X 100 ML + APLIC",D11A - OUTRAS PREPARAÇÕES DERMATOLOGICAS,
ALFAFOLITROPINA,    -     ,"300 UI SOL INJ SC CT CAN APLIC CARVD TRANS X 0,48 ML     ",G3G - GONADOTROFINAS INCLUINDO OUTROS ESTIMULANTES PARA OVULAÇÃO,
ALFAFOLITROPINA,    -     ,"450 UI SOL INJ SC CT  CAN APLIC CAR VD TRANS X 0,72 ML    ",G3G - GONADOTROFINAS INCLUINDO OUTROS ESTIMULANTES PARA OVULAÇÃO,
ALFAFOLITROPINA,    -     ,"900 UI SOL INJ SC CT CAN APLIC CAR VD TRANS X 1,44 ML ",G3G - GONADOTROFINAS INCLUINDO OUTROS ESTIMULANTES PARA OVULAÇÃO,
ALFAGALSIDASE,    -     ,"1 MG/ML SOL INJ CT FA VD TRANS X 3,5 ML",A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO,
ALOPURINOL,    -     ,300 MG COM CT BL AL PLAS TRANS X 30,M4A - ANTIGOTOSOS,
ALOPURINOL,    -     ,100 MG COM CT BL AL PLAS TRANS X 30 ,M4A - ANTIGOTOSOS,
ALOÍNA,    -     ,(10+10+10+30) MG COM REV CT BL AL PLAS PVC TRANS X 36,A6A9 - OUTRAS DROGAS PARA CONSTIPAÇÃO,
ALPRAZOLAM,    -     ,1 MG COM CT BL AL AL X 30,N5C - TRANQUILIZANTES,
ALPRAZOLAM,    -     ,2 MG COM CT BL AL AL X 30,N5C - TRANQUILIZANTES,
ALPRAZOLAM,    -     ,"0,25 MG COM CT BL AL PLAS TRANS X 30 ",N5C - TRANQUILIZANTES,
ALPRAZOLAM,    -     ,"0,5 MG COM CT BL AL PLAS TRANS  X 30",N5C - TRANQUILIZANTES,
ALPROSTADIL,    -     ,10 MCG PO LIOF SOL INJ IC CT FA VD TRANS TP BRBU + DIL SER VD TRANS X 1 ML  + 2 AG + 2 LEN,G4E9 - OUTROS PRODUTOS PARA DISFUNÇÃO ERÉTIL,
ALPROSTADIL,    -     ,20 MCG PO LIOF SOL INJ IC CT FA VD TRANS TP BRBU + DIL SER VD TRANS X 1 ML  + 2 AG + 2 LEN,G4E9 - OUTROS PRODUTOS PARA DISFUNÇÃO ERÉTIL,
AMINAFTONA,    -     ,75 MG COM CT BL AL PLAS INC X 30,C5C - VASOPROTETORES SISTÊMICOS,
AMINOFILINA,    -     ,100 MG COM CT  BL AL PLAS PVC TRANS X 20,R3B2 - ANTIASMÁTICOS/DPOC XANTÍNICOS SISTÊMICOS,
AMINOFILINA,    -     ,200 MG COM CT BL AL PLAS PVC TRANS X 20 ,R3B2 - ANTIASMÁTICOS/DPOC XANTÍNICOS SISTÊMICOS,
AMISSULPRIDA,    -     ,50 MG COM CT BL AL PLAS PVC TRANS X 20,N5A1 - ANTIPSICÓTICOS ATÍPICOS,
AMISSULPRIDA,    -     ,200 MG COM CT BL AL PLAS PVC TRANS X 20,N5A1 - ANTIPSICÓTICOS ATÍPICOS,
AMOXICILINA,    -     ,50 MG/ML PO SUS OR CT FR VD AMB X 150 ML,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
AMOXICILINA,    -     ,500 MG CAP GEL DURA CT BL AL PLAS INC X 21,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
AMOXICILINA TRI-HIDRATADA,    -     ,875 MG COM REV CT STR AL X 14,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
AMOXICILINA TRI-HIDRATADA,    -     ,80 MG/ML PO SUS OR CT FR VD AMB X 100 ML + SER DOS,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
AMOXICILINA TRI-HIDRATADA,    -     ,100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML  + COP,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
AMOXICILINA TRIHIDRATADA;CLAVULANATO DE POTÁSSIO,    -     ,875 MG + 125 MG COM REV CT FR VD AMB X 14,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
AMOXICILINA TRIHIDRATADA;CLAVULANATO DE POTÁSSIO,    -     ,(500+125) MG COM REV CT STR AL/AL X 18,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
AMOXICILINA TRIHIDRATADA;ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO;CLARITROMICINA,    -     ,500 MG CAP DURA + 500 MG COM REV + 20 MG COM REV LIB RETARD CT BL AL AL X 28 +14 + 42,A2B2 - INIBIDORES DA BOMBA DE PRÓTONS,
AMOXICILINA TRIHIDRATADA;LANSOPRAZOL;CLARITROMICINA,    -     ,30 MG CAP LIB RETARD + 500 MG COM REV + 500 MG CAP CT BL AL PLAS TRANS X 14 + 14 + 28,A2B2 - INIBIDORES DA BOMBA DE PRÓTONS,
AMOXICILINA TRIHIDRATADA;SULBACTAM PIVOXILA,    -     ,875 MG + 125 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 14,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
AMPICILINA,    -     ,500 MG COM CT BL AL PLAS TRANS X 12,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
AMPICILINA,    -     ,50 MG/ML PO SUS OR CT FR PLAS OPC X 60 ML + CP MED,J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO,
ANASTROZOL,    -     ,1 MG COM REV CT BL AL PLAS TRANS X 30,L2B3 - CITOSTÁTICOS INIBIDORES DA AROMATASE,
APIXABANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 20",B1F - INIBIDORES DIRETOS DO FATOR XA,
APIXABANA,    -     ,5 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 20,B1F - INIBIDORES DIRETOS DO FATOR XA,
ARIPIPRAZOL,    -     ,15 MG COM  CT BL AL/AL X 30,N5A1 - ANTIPSICÓTICOS ATÍPICOS,
ARIPIPRAZOL,    -     ,10 MG COM  CT BL AL/AL X 30,N5A1 - ANTIPSICÓTICOS ATÍPICOS,
ARIPIPRAZOL,    -     ,20 MG/ML SUS GOT OR CT ENVOL FR GOT PLAS PEAD/PEBD OPC X 30 ML,N5A1 - ANTIPSICÓTICOS ATÍPICOS,
ARIPIPRAZOL,    -     ,30 MG COM CT BL AL/AL X 30,N5A1 - ANTIPSICÓTICOS ATÍPICOS,
ASCORBATO DE SÓDIO;CITRATO DE ZINCO TRI-HIDRATADO;COLECALCIFEROL,    -     ,1000MG + 455UI + 10MG COM REV CT BL AL PLAS TRANS X 30,A11G2 - ASSOCIAÇÕES COM VITAMINA C,
ASPARTATO DE ARGININA;ÁCIDO ASCÓRBICO,    -     ,1 G + 1 G COM EFEV CT TB PLAS PP OPC X 16 ,A13A2 - TODOS OS OUTROS TÔNICOS,
ATENOLOL,    -     ,50 MG COM BL AL PLAS TRANS X 30,C7A0 - BETABLOQUEADORES PUROS,
ATENOLOL,    -     ,25 MG COM REV CT BL AL PLAS TRANS X 30,C7A0 - BETABLOQUEADORES PUROS,
ATENOLOL,    -     ,100 MG COM CT BL AL PLAS OPC X 30,C7A0 - BETABLOQUEADORES PUROS,
ATENOLOL;BESILATO DE ANLODIPINO,    -     ,"(5,0 + 50,0) MG CAP DURA CT BL AL PLAS PVDC OPC X 30",C8B2 - ANTAGONISTAS DO CÁLCIO ASSOCIADOS A BETABLOQUEADORES,
ATENOLOL;BESILATO DE ANLODIPINO,    -     ,"(5,0 + 25,0) MG CAP DURA CT BL AL PLAS  PVDC  OPC X 30",C8B2 - ANTAGONISTAS DO CÁLCIO ASSOCIADOS A BETABLOQUEADORES,
ATENOLOL;CLORTALIDONA,    -     ,100 MG + 25 MG COM CT BL AL PLAS TRANS X 30,C7B1 - BETABLOQUEADORES ASSOCIADOS COM ANTIHIPERTENSIVOS E/OU DIURÉTICOS,
ATENOLOL;CLORTALIDONA,    -     ,"50 MG + 12,5 MG COM CT BL AL PLAS TRANS X 30",C7B1 - BETABLOQUEADORES ASSOCIADOS COM ANTIHIPERTENSIVOS E/OU DIURÉTICOS,
ATORVASTATINA CÁLCICA,    -     ,10 MG COM REV CT BL AL/AL X 30,"C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA",
ATORVASTATINA CÁLCICA,    -     ,20 MG COM REV CT BL AL/AL X 30,"C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA",
ATORVASTATINA CÁLCICA,    -     ,40 MG COM REV CT BL AL/AL X 30,"C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA",
ATORVASTATINA CÁLCICA,    -     ,80 MG COM REV CT  BL AL/AL X 30,"C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA",
ATROPA BELLADONNA,    -     ,"0,2 ML/ML ELX CT FR PLAS OPC GOT X 30 ML ",A3A - ANTIESPASMÓDICOS E ANTICOLINÉRGICOS PUROS,
ATROPA BELLADONNA,    -     ,"0,2 ML/ML ELX CT 12 FR PLAS OPC GOT X 30 ML (EMB MULT)",A3A - ANTIESPASMÓDICOS E ANTICOLINÉRGICOS PUROS,
ATROPA BELLADONNA,    -     ,"0,2 ML/ML ELX CT FR PLAS OPC GOT X 30 ML",A3A - ANTIESPASMÓDICOS E ANTICOLINÉRGICOS PUROS,
AXETIL CEFUROXIMA,    -     ,50 MG/ML PO SUS OR CT FR VD AMB X 70 ML,J1D1 - CEFALOSPORINAS ORAIS,
AXETIL CEFUROXIMA,    -     ,250 MG COM REV CT BL AL AL X 10,J1D1 - CEFALOSPORINAS ORAIS,
AXETIL CEFUROXIMA,    -     ,250 MG COM REV CT BL AL AL X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXETIL CEFUROXIMA,    -     ,250 MG PO SUS OR CT ENV AL/PLAS X 20,J1D1 - CEFALOSPORINAS ORAIS,
AXETIL CEFUROXIMA,    -     ,500 MG COM REV CT BL AL AL X 10,J1D1 - CEFALOSPORINAS ORAIS,
AXETIL CEFUROXIMA,    -     ,500 MG COM REV CT BL AL AL X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXETIL CEFUROXIMA,    -     ,500 MG COM REV CT BL AL AL X 20,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,250 MG COM REV CT BL AL AL X 10,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL AL X 10,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL AL X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL AL X 10,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL AL X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL AL X 20,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM CT BL AL/AL X 10 ,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM CT BL AL/AL X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,250 MG COM REV CT BL AL PLAS TRANS X 10,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,250 MG COM REV CT BL AL PLAS TRANS X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 10,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML + COP,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,50 MG/ML PO SUS OR CT FR PLAS TRANS X 70 ML + COP,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,250 MG COM REV CT BL AL PLAS TRANS X 10,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,250 MG COM REV CT BL AL PLAS TRANS X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,250 MG COM REV CT BL AL PLAS TRANS X 20,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 10,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 20,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM CT BL AL/AL X 20,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM CT BL AL/AL X 10 ,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM CT BL AL/AL X 20,J1D1 - CEFALOSPORINAS ORAIS,
AXETILCEFUROXIMA,    -     ,500 MG COM CT BL AL/AL X 14,J1D1 - CEFALOSPORINAS ORAIS,
AXICABTAGENO CILOLEUCEL,    -     ,"1,0 A 2,0 X 10E6 CELS T CAR POSITIVAS/KG SUS INJ IV CASSETE ALU BOLS",L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,
AXITINIBE,    -     ,1 MG COM REV CT FR PLAS OPC X 180,L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE,
AXITINIBE,    -     ,5 MG COM REV CT FR PLAS OPC X 60,L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE,
AZACITIDINA,    -     ,100 MG PO LIOF SUS INJ SC CT FA VD TRANS,L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,
AZACITIDINA,    -     ,100 MG PO LIOF SUS INJ SC CT FA VD TRANS,L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,
AZACITIDINA,    -     ,100 MG PO LIOF SUS INJ SC CT FA VD TRANS,L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,
AZACITIDINA,    -     ,100 MG PO LIOF SUS INJ SC CT FA VD TRANS,L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,
AZACITIDINA,    -     ,100MG/200MG PO LIOF SUS INJ SC FA VD INC X 200MG,L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,
AZACITIDINA,    -     ,100 MG PO LIOF SUS INJ SC CT FA VD TRANS,L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,
