"ACETATO DE SÓDIO TRIIDRATADO;CLORETO DE CÁLCIO DIIDRATADO;CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO";-;S1S9 - OUTROS ADJUVANTES CIRÚRGICOS OFTALMOLÓGICOS
"ACETATO DE SÓDIO TRIIDRATADO;CLORETO DE CÁLCIO DIIDRATADO;HIDROXIETILAMIDO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO";-;K2B - GOMAS
"ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO";-;K1A9 - OUTRAS SOLUÇÕES ELETROLÍTICAS
"ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE MAGNÉSIO";-;K1A9 - OUTRAS SOLUÇÕES ELETROLÍTICAS
ACETATO DE TERLIPRESSINA;-;B2G - HEMOSTÁTICOS SISTÊMICOS
"ACETATO DE TOCOFEROL;ÁCIDO FÓLICO";-;B3X - OUTROS PRODUTOS ANTIANÊMICOS, INCLUINDO ÁCIDO FÓLICO, ÁCIDO FOLÍNICO
ACETATO DE TRIPTORRELINA;-;H1C1 - HORMÔNIOS LIBERADORES DE GONADOTROFINA
ACETATO DE ZINCO;-;K1A9 - OUTRAS SOLUÇÕES ELETROLÍTICAS
ACETAZOLAMIDA;-;S1E1 - PREPARAÇÕES ANTIGLAUCOMAS E MIÓTICAS SISTÊMICAS
ACETILCISTEÍNA;-;R5C - EXPECTORANTES
"ACETILRACEMETIONINA;BETAÍNA;CITRATO DE COLINA";-;A5B - HEPATOPROTETORES E LIPOTRÓPICOS
ACETONIDA DE TRIANCINOLONA;-;R1A1 - CORTICOSTERÓIDES NASAIS SEM ANTIINFECCIOSOS
ACICLOVIR;-;J5B3 - ANTIVIRAIS PARA HERPES
ACICLOVIR SÓDICO;-;J5B3 - ANTIVIRAIS PARA HERPES
ACIDO ACETILSALICILICO;-;N2B2 - ANALGÉSICOS NÃO NARCÓTICOS E ANTIPIRÉTICOS ISENTOS DE PRESCRIÇÃO
"ACIDO ACETILSALICILICO;ACIDO CITRICO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO";-;N2B2 - ANALGÉSICOS NÃO NARCÓTICOS E ANTIPIRÉTICOS ISENTOS DE PRESCRIÇÃO
"ACIDO CITRICO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO";-;A2A1 - ANTIÁCIDOS PUROS
ACITRETINA;-;D5B - ANTIPSORÍASE SISTÊMICOS
ACTAEA RACEMOSA L.;-;V3X - TODOS OS OUTROS PRODUTOS TERAPÊUTICOS
ADALIMUMABE;-;L4B - PRODUTOS ANTI-TNF( FATOR DE NECROSE TUMORAL)
ADAPALENO;-;D10A - ANTIACNEICOS TÓPICOS
"ADAPALENO;FOSFATO DE CLINDAMICINA";-;D10A - ANTIACNEICOS TÓPICOS
"ADAPALENO;PERÓXIDO DE BENZOÍLA";-;D10A - ANTIACNEICOS TÓPICOS
ADENOSINA;-;C1B - ANTIARRÍTMICOS CARDÍACOS
AESCULUS HIPPOCASTANUM L.;-;C5C - VASOPROTETORES SISTÊMICOS
AFLIBERCEPTE;-;S1P - PRODUTOS ANTINEOVASCULARIZAÇÃO OCULAR
AGOMELATINA;-;N6A9 - ANTIDEPRESSIVOS TODOS OS OUTROS
ALANILGLUTAMINA;-;K1E9 - OUTRAS SOLUÇÕES DE AMINOÁCIDOS
"ALANTOÍNA;ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL";-;D2A - EMOLIENTES PROTETORES DERMATOLÓGICOS
